GROSS_LOAD,AMBIENT_TEMPERATURE,SUCTION_STRAINER_DP,SUCTION_PRESSURE_1,SUCTION_TEMP_1,DISCHARGE_PRESSURE,PUMP_DELTA_PRESS_CV,DISCHARGE_TEMP_1,FLOW_1,FLOW_2,DISCHARGE_FLOW_COMMON,MOTOR_CURRENT,MOTOR_OB_TEMP_1,MOTOR_IB_TEMP_1,MOTOR_STATOR_TEMP_1,MOTOR_STATOR_TEMP_2,MOTOR_STATOR_TEMP_3,PUMP_IB_TEMP_1,PUMP_OB_TEMP_1,PUMP_OB_TEMP_2,IB_SEAL_DRAIN_TEMP,OB_SEAL_DRAIN_TEMP
8.72591546621913,-.922234138124793,-.742859874422219,1.86205757420086E-02,.637186385007624,2.15360302091643E-02,2.91545446715547E-03,.598968662267566,-2.898126498274,-2.63610734269923,-3.38882143955925,-1.24727880779923,-.465820568075927,-1.35653212227032,-.398822336981752,2.67781224814314E-02,-9.54461153919368E-02,.663102423814941,1.35522172248645,2.66732897348138,-.562854135582917,-3.89625413526854
9.06358553215136,-.600253202143556,-.989641792725674,2.46613869481547E-02,1.14579004142561,.031817587107728,7.15620015957352E-03,1.15287144144423,-12.0834949194568,-10.6257867791746,-12.8542517882947,-1.56136831015075,-.386842515227983,-1.63413350579896,-.441193225253087,-6.12183823396748E-02,-.141923122268238,.308237753000931,1.45424899445496,2.74561934022613,-4.33502815829954E-02,-3.27221749988801
-9.88649912648316,-2.5330357584824,-.261445656727926,8.48027480834723E-03,9.06869618781343E-02,1.26295016791067E-02,4.14922687075947E-03,1.18139978872307E-02,3.68191978994696,6.5803108897976,2.7137433278408,-.642481407805036,-4.98555894949249E-02,-.918673178002152,-.014985816748478,.235115182222188,8.74037726463257E-02,.385495335659698,2.0706558676432,2.29633102622235,-.579587903170037,-3.75843072001658
-12.5466616546511,-2.0797426215734,-.667689381206273,5.74641445676471E-03,-.069507262430875,4.41287097475795E-03,-1.33354348200698E-03,-.131743284666015,10.1641216868109,10.9940328126747,11.5703531546717,-9.55546605420636E-02,.262960600901842,-1.01448099004717,-.288154416670707,.11269201376669,.1008920138365,.454706689629589,1.77086440795713,2.15151649306431,-.483693499909322,-3.91427534474285
-1.44634378480134,-1.99445178852826,-.408850327322774,6.93687958662914E-03,6.07841125009543E-02,1.30327429607608E-02,6.09586337413304E-03,1.08703557549461E-03,4.13081912761118,7.1720856848176,2.37620715060189,-.488947958174819,.235370806747973,-1.27135534184362,.129156144255361,.483457787360877,.290142894500349,8.36485335425152E-02,1.75553917134472,2.24629956714678,-.489891645868475,-4.06672557728662
-2.5307542406016,-2.48636366885077,-.47659962159571,9.63929616187786E-03,8.23044876292443E-02,1.46133779574145E-02,4.97408179553682E-03,7.58677320234824E-03,1.90166860188242,4.97627349073332,1.86898223730577,-.353552121507434,.49916045937028,-1.13636920404909,-.209456176202195,.113571471938045,.132931400591815,.102909627085502,2.071085517355,2.36748365691431,-.540324782893478,-4.0109155304358
5.07743857394541,-2.12364096354455,-.772174525789467,1.73160503959484E-02,.385357657567738,2.36065531783849E-02,6.29050278243448E-03,.302123108715506,-4.93182706505945,-1.47243816879381,-6.92662809872513,-.562309348993267,.212192513458398,-1.12445226030243,.222663730424586,.409756113492151,.375208399262846,-.192756962658834,2.01599547495529,2.480352172709,-.506860250062985,-3.83622314963923
-5.98078843485052,-2.90440511182743,-.628767557198127,8.22500463833098E-03,.133420607624487,1.50594712282417E-02,6.83446658991183E-03,8.54290761020025E-02,-6.41314114872625,-3.19789213729064,-7.62361392902881,.031997032301291,.462195734045388,-1.07053694033189,.308792692145801,.591137820527948,.431122569078966,-.142738748308666,2.10945977864976,2.4022189227327,-.728638953247476,-4.1411170366931
-15.7024940905599,-2.80338334219547,-.56920940216207,.011021074889402,.175109937427436,1.56893824377624E-02,4.6683075483589E-03,8.28445079515916E-02,-.253401709721857,3.25160248306975,.655624463025106,-.440564860600986,.574702095952674,-.914987187604268,-.171281801673871,7.35916418891946E-02,-4.80613388105553E-02,5.09205989771502E-02,2.09111720134921,1.91216800650751,-.329743424641507,-3.40965154763196
.972195760529985,-3.26826666583228,-.576711420975876,1.13552476431575E-02,.216614609816361,1.78513639774018E-02,6.4961163342443E-03,.156948079874411,-8.16306060461261,-6.06914301109987,-7.75566247176539,-.746042685110055,.492094678948419,-1.26443680881641,.340653465452576,.643501167373827,.512284944670625,-.333168041975505,1.95764061735305,2.277927107181,-.564472993941401,-3.65703458117864
-3.47947546146668,-3.11387732159464,-.827001953345107,.010938766164279,.482347173719347,1.95957953972759E-02,8.65702923299727E-03,.439999847533613,-9.70098334519344,-9.6451970191215,-7.83905491834184,-.581028383342542,.423780861187197,-.959703912644386,.580602081506726,.831869033174769,.732544943751577,-.449447506984058,1.94628686171433,2.12730049657764,-.601565764313513,-3.51787139701245
-7.41342147269575,-2.59482051832646,-.549000767084788,1.07212466167124E-02,.39947084919379,1.81813502604178E-02,7.46010364370631E-03,.360524550882872,-8.28438523444697,-5.0509425400644,-9.43560374253343,-.541927049801302,.276707495721794,-.705496697313514,.799453082204025,.833502277977956,.691706599465064,-.313484364567842,1.73849299781527,1.68933652263527,-.565128525965044,-3.20803629547508
-17.1996637426481,-2.98706732562626,-.539397330524434,8.38445613224281E-03,.434159691995035,1.57878062227255E-02,7.40335009048199E-03,.402297105056391,-7.68409118645332,-5.77181725581636,-5.88226942365168,-.1657580163386,.207048155142573,-.863289315436873,.551167361328396,.693116325052458,.7121304297835,9.53168412713268E-03,1.72242845998471,1.43468131330093,-.335601765678945,-3.16269296454828
