SS_TimeStamp,A_3FBFP04-SD_MCB,A_AFCFLW_MCB,A_314M02CR_DAB,A_TE31905_FSSS,A_PT31906_DAB,A_TE31412_RIO,A_TE31413_RIO,A_TE31414_RIO,A_TE31415_RIO,A_TE31416_RIO,A_TE31409_RIO,A_TE31410_RIO,A_TE31411_RIO,A_TE30502_DAB,A_PT30704_DAB,A_TE31906_FSSS,A_TE31907_FSSS,A_PT32402_MCB,A_324PCV02_MCB
2017/4/12 0:08,245.3578033,28.70985031,36.0867424,34.28590393,0.561260283,57.40000153,59.40000153,59.20000076,28.89999962,29,21.60000038,21.5,57.60000229,9.816540718,5.232834816,38.37039185,37.8642807,12.56064415,71.18557739
2017/4/12 1:11,241.5814819,27.07904243,33.64929962,34.20819092,0.561412871,57.10000229,59.20000076,59,29,29,21.60000038,21.60000038,57.60000229,10.27560425,5.188892365,38.27954102,37.8123703,12.31814003,66.37673187
2017/4/12 2:19,241.7874603,27.16487312,31.21757698,34.19522095,0.560878873,57.20000076,59.29999924,59,29.10000038,29.20000076,21.70000076,21.89999962,57.5,10.30703545,5.174244881,38.27954102,37.78642654,12.36868191,64.53153992
2017/4/12 3:28,204.9511719,23.99290466,31.84124184,34.16932297,0.563167512,56.29999924,58.5,58.29999924,29.80000114,29.80000114,22.10000038,22,56.60000229,10.25164509,4.526091099,38.21465683,37.68262482,10.78270531,54.15990067
2017/4/12 4:30,202.3420868,23.35202599,28.74580383,33.93615723,0.56293869,55.79999924,57.79999924,57.60000229,29.60000038,29.60000038,21.70000076,21.80000114,56,10.34457016,4.530973434,37.98106766,37.46205902,10.6812191,51.02642441
2017/4/12 5:38,225.2059784,26.35805321,29.51251221,33.89731598,0.563472688,56.29999924,58.29999924,58.10000229,29.80000114,29.80000114,21.80000114,21.89999962,56.5,9.947868347,4.96795845,38.05892944,37.60477448,11.79398251,61.3431778
2017/4/12 6:39,276.1519775,31.56710243,35.34864044,34.45432281,0.563091218,59.40000153,61.29999924,61.10000229,30.60000038,30.70000076,22.20000076,22.30000114,59.70000076,9.962407112,6.147085667,38.62997818,38.14977646,13.90109348,81.24903107
2017/4/12 7:49,304.8176575,34.84397507,36.2812767,34.92076492,0.561565459,61.79999924,63.79999924,63.60000229,31,30.89999962,22.70000076,22.70000076,62.10000229,10.62911606,6.531583786,39.03242493,38.52613449,15.34493637,97.49026489
2017/4/12 8:59,251.0909424,26.86350822,32.34474945,35.32250595,0.562404633,62,64.09999847,63.79999924,32,31.80000114,23.60000038,23.60000038,62.5,11.52372646,5.308514118,39.4998436,38.85066605,12.18319416,64.52133942
2017/4/12 10:09,228.8106537,26.49156952,34.79363632,35.49099731,0.562175751,60.79999924,62.79999924,62.60000229,32.79999924,32.79999924,25.20000076,25.20000076,61,13.83030796,5.064388275,39.48687363,38.95452118,11.89850712,64.14875031
2017/4/12 11:09,212.6754608,24.36293602,31.09742165,35.5817337,0.562328339,61.29999924,63.29999924,63.10000229,33.5,33.5,26.10000038,26.10000038,61.40000153,15.34335709,4.828806877,39.56476974,38.96750641,11.07141304,56.5545845
2017/4/12 12:18,221.4983215,25.44060516,32.42485428,35.52988052,0.563548982,61.20000076,63.29999924,63.10000229,33.90000153,33.90000153,26.5,26.5,61.40000153,15.84663105,5.138846397,39.62971497,39.04539108,11.62384605,60.27438736
2017/4/12 13:18,245.0144958,28.1109333,34.67920303,35.97063828,0.56370157,63.10000229,65.20000458,65,34.29999924,34.40000153,26.80000114,27,63.5,16.66590691,5.725968838,40.01932907,39.39596939,12.47737026,69.44441986
2017/4/12 14:19,235.8483429,27.21255875,33.72367859,36.24291611,0.5633201,64.20000458,66.20000458,66.09999847,35.10000229,35.10000229,27.80000114,27.70000076,64.40000153,16.87541962,5.544095039,40.21416473,39.60373688,12.11345959,67.11528778
2017/4/12 15:19,242.3710785,28.10139656,34.75930786,36.46334457,0.562709808,65.20000458,67.20000458,67.09999847,35.79999924,35.79999924,28.39999962,28.39999962,65.40000153,17.50513268,5.706439018,40.51297379,39.88946152,12.52987671,69.41149902
