SS_TimeStamp,GROSS_LOAD,AMBIENT_TEMPERATURE,SUCTION_STRAINER_DP,SUCTION_PRESSURE_1,SUCTION_TEMP_1,DISCHARGE_PRESSURE,PUMP_DELTA_PRESS_CV,DISCHARGE_TEMP_1,FLOW_1,FLOW_2,DISCHARGE_FLOW_COMMON,MOTOR_CURRENT,MOTOR_OB_TEMP_1,MOTOR_IB_TEMP_1,MOTOR_STATOR_TEMP_1,MOTOR_STATOR_TEMP_2,MOTOR_STATOR_TEMP_3,PUMP_IB_TEMP_1,PUMP_OB_TEMP_1,PUMP_OB_TEMP_2,IB_SEAL_DRAIN_TEMP,OB_SEAL_DRAIN_TEMP
4/28/2012 8:00,921.9956055,21.04825783,21.1040554,1.309233069,184.80336,2.698094845,1.388861776,184.8981018,1351.695435,1350.551514,1358.536743,84.06448364,36.32675171,55.52394104,72.3609314,68.75416565,67.61807251,57.57995224,66.99142456,57.94443893,42.26862335,44.7702179
4/29/2012 4:00,951.1801758,21.1770153,22.14216042,1.321446061,184.8574677,2.695652246,1.374206185,184.8845673,1382.907104,1382.907104,1399.627075,85.53003693,36.55955887,56.61686707,73.18475342,69.44647217,68.40155029,59.35070419,65.66021729,55.2637825,43.00723267,44.58869171
4/29/2012 13:00,600.9642334,24.32003403,9.425378799,0.952002823,166.5737915,2.536883354,1.584880531,166.6882019,899.9098511,898.1494751,911.2721558,68.05325317,39.08924484,56.38262939,66.4693222,63.74261475,62.70601654,61.14846802,71.89681244,60.54909897,43.65528107,43.6099205
4/29/2012 16:00,544.9936523,23.75304031,7.51709938,0.897426128,163.3786621,2.515510798,1.61808467,163.5668945,792.6829834,793.1821899,804.1123047,63.9863205,37.69800568,54.35337448,63.57961273,60.98558807,60.00195313,60.75756454,71.7726059,59.975914,44.12844086,44.25808716
5/24/2012,698.5130005,23.64995766,12.66182232,1.064973116,173.0478363,2.610161304,1.545188188,173.095047,1026.800049,1028.329712,1033.286133,73.51245117,34.02534866,51.23387146,62.65386963,59.83261871,58.68656158,59.29861832,71.48501587,61.0507431,42.49537277,43.38956833
5/25/2012 5:00,849.6335449,20.14715576,18.53932953,1.17031014,178.4742889,2.609550714,1.439240574,178.5013428,1262.449951,1261.211426,1270.779541,82.37908936,35.60252762,53.39120483,68.77376556,65.51015472,64.17951202,58.02256775,68.32319641,59.4809494,42.35283661,44.29698563
5/25/2012 19:00,724.8991089,24.44889641,13.40987015,1.095505595,174.5317841,2.624817133,1.529311538,174.5317841,1059.51416,1060.994507,1074.226074,75.27112579,35.65426254,52.8972435,65.71240234,62.79075241,61.51335144,59.32466888,71.0406189,61.51335144,42.22975159,43.94046021
6/9/2012 4:00,935.9881592,24.57778549,23.69931793,1.251221299,182.4690552,2.618099689,1.36687839,182.5299225,1414.692261,1412.766968,1427.280273,87.28871918,34.85263824,54.92560577,71.77913666,68.29055023,66.92616272,58.15274048,71.35430145,63.7295723,42.92947769,51.26634216
6/10/2012 3:00,816.8508301,26.64055252,18.17293739,1.151990652,177.7988586,2.602833748,1.450843096,177.8798828,1242.591309,1238.809448,1253.868408,81.4264679,35.36978912,54.14530945,69.00234985,65.66021729,64.38168335,58.51729202,72.06022644,64.79911041,43.08500671,51.15590668
6/17/2012 12:00,665.9300537,28.67877579,11.85271263,1.022227645,170.6480103,2.585735321,1.563507676,170.6749573,988.6502686,987.8519287,999.746582,72.04689789,40.98613739,57.81427002,69.85146332,67.35695648,66.16913605,63.23406982,73.93034363,65.86898041,44.78318787,50.45444489
