时间, Changliu3 - Avg[V 有效值 A] (V), Changliu1 - Avg[V 有效值 A] (V), Changliu2 - Avg[V 有效值 A] (V), Changliu4 - Avg[V 有效值 A] (V), KunYang3 - Avg[V 有效值 A] (V), KunYang1 - Avg[V 有效值 A] (V), WanKe2 - Avg[V 有效值 A] (V), WanKe1 - Avg[V 有效值 A] (V), QinZhou4 - Avg[V 有效值 A] (V), QinZhou3 - Avg[V 有效值 A] (V), JiangChuan5 - Avg[V 有效值 A] (V), JiangChuan3 - Avg[V 有效值 A] (V), JiangChuan1 - Avg[V 有效值 A] (V), JiangChuan4 - Avg[V 有效值 A] (V), JiangChuan2 - Avg[V 有效值 A] (V)
2018-02-01 00:42:00,66893.1796875,66835.234375,66848.109375,66905.828125,6029.33251953125,21048.755859375,6099.57421875,6044.63134765625,5983.93701171875,6057.01806640625,21241.615234375,65061.828125,67204.84375,21277.255859375,66657.015625
2018-02-01 00:45:00,66898.7421875,66858.1875,66870.890625,66911.2890625,6041.38330078125,21092.896484375,6097.796875,6040.1494140625,5983.220703125,6053.9619140625,21265.69140625,65198.68359375,67250.390625,21294.47265625,66694.84375
2018-02-01 00:48:00,66930.8359375,66885.859375,66898.7578125,66943.3515625,6043.67529296875,21098.962890625,6100.52587890625,6045.34423828125,5981.14453125,6049.6298828125,21272.58984375,65221.73046875,67285.4765625,21306.73828125,66716.546875
2018-02-01 00:51:00,66966.6015625,66917.59375,66930.3203125,66979.2890625,6046.7197265625,21106.5859375,6099.58349609375,6045.810546875,5983.8857421875,6053.32080078125,21278.26953125,65232.5546875,67278.421875,21302.486328125,66739.1328125
2018-02-01 00:54:00,66992.6328125,66945.234375,66958.3046875,67004.8515625,6046.8408203125,21107.0546875,6102.02197265625,6047.8681640625,5984.77880859375,6054.859375,21281.916015625,65237.8828125,67362.9375,21331.74609375,66753.3828125
2018-02-01 00:57:00,66958.4296875,66910.1796875,66922.8125,66970.9765625,6050.33251953125,21119.3984375,6104.248046875,6048.65185546875,5982.46337890625,6057.97265625,21286.568359375,65271.18359375,67421.125,21351.310546875,66768.6015625
2018-02-01 01:00:00,66945.2890625,66906.9609375,66919.828125,66957.796875,6051.15625,21121.287109375,6104.38134765625,6047.46533203125,5982.55224609375,6054.802734375,21287.765625,65279.87109375,67482.0078125,21370.2890625,66782.8671875
2018-02-01 01:03:00,66963.46875,66916.21875,66929.7109375,66975.84375,6051.94921875,21124.763671875,6104.271484375,6048.5166015625,5981.31884765625,6052.20263671875,21292.47265625,65295.35546875,67482.828125,21370.63671875,66785.859375
2018-02-01 01:06:00,66993.03125,66930.3828125,66943.8671875,67005.3828125,6052.6474609375,21128.181640625,6103.15771484375,6048.201171875,5981.7568359375,6056.3876953125,21295.759765625,65300.60546875,67509.3359375,21381.189453125,66794.0703125
2018-02-01 01:09:00,66970.8828125,66912.7421875,66925.9453125,66983.4453125,6052.24853515625,21127.0546875,6107.34130859375,6050.91650390625,5981.8388671875,6056.791015625,21295.83203125,65304.91796875,67525.6640625,21384.744140625,66796.03125
2018-02-01 01:12:00,66978.0234375,66923.96875,66937.109375,66990.421875,6052.5263671875,21129.884765625,6107.9931640625,6053.8447265625,5984.482421875,6055.736328125,21299.708984375,65314.0703125,67539.0859375,21389.7109375,66819.578125
