时间, Changliu3 - Avg[I 有效值 A] (A), Changliu1 - Avg[I 有效值 A] (A), Changliu2 - Avg[I 有效值 A] (A), KunYang3 - Avg[I 有效值 A] (A), KunYang1 - Avg[I 有效值 A] (A), WanKe2 - Avg[I 有效值 A] (A), WanKe1 - Avg[I 有效值 A] (A), QinZhou4 - Avg[I 有效值 A] (A), QinZhou3 - Avg[I 有效值 A] (A), JiangChuan5 - Avg[I 有效值 A] (A), JiangChuan3 - Avg[I 有效值 A] (A), JiangChuan1 - Avg[I 有效值 A] (A), JiangChuan4 - Avg[I 有效值 A] (A), JiangChuan2 - Avg[I 有效值 A] (A)
2018-02-05 04:45:00,25.1295700073242,0.0,16.8028907775879,1.03301668167114,116.066444396973,74.933464050293,56.5391082763672,44.3461036682129,3.21515297889709,64.0608825683594,52.5738716125488,71.0292510986328,60.9594650268555,0.0
2018-02-05 04:48:00,25.2230987548828,0.0,17.0843677520752,1.03220522403717,111.592834472656,74.3168792724609,57.590030670166,44.0973854064941,3.20290923118591,61.7847747802734,52.5359268188477,71.7226028442383,59.719596862793,0.0
2018-02-05 04:51:00,25.1896114349365,0.0,17.3733425140381,1.03179836273193,114.266670227051,73.9456787109375,57.2680892944336,45.1583595275879,3.32557129859924,60.9891128540039,52.5209007263184,71.2423782348633,59.316951751709,0.0
2018-02-05 04:54:00,25.199857711792,0.0,17.6769218444824,1.03305673599243,113.009239196777,74.6855926513672,56.1485252380371,44.107048034668,3.27166104316711,61.7983932495117,52.865779876709,71.3823165893555,59.7345275878906,0.0
2018-02-05 04:57:00,25.2077465057373,0.0,19.3686103820801,1.03311240673065,109.606834411621,75.1221389770508,57.492618560791,44.0971984863281,3.46737909317017,60.9244041442871,52.955638885498,71.9160842895508,60.8923683166504,0.0
2018-02-05 05:00:00,25.0315837860107,0.0,19.8920364379883,1.02975380420685,106.5703125,75.5926666259766,58.262638092041,45.561939239502,3.30795979499817,61.3057403564453,53.116382598877,72.4375,60.7849731445313,0.0
2018-02-05 05:03:00,24.9524459838867,0.0,20.3589744567871,1.02407157421112,106.948272705078,77.2775344848633,59.683967590332,44.2760009765625,3.47722673416138,62.2335319519043,53.5263137817383,72.719970703125,59.6040229797363,0.0
2018-02-05 05:06:00,25.0961475372314,0.0,19.8796348571777,1.00977683067322,110.106513977051,74.1306381225586,59.6905860900879,43.8735847473145,3.26021194458008,59.7870101928711,53.9311599731445,73.5642547607422,59.3153457641602,0.0
2018-02-05 05:09:00,25.1709880828857,0.0,20.3990783691406,1.0095409154892,104.818588256836,77.0677185058594,59.1881523132324,44.8176879882813,3.2526535987854,61.0169334411621,54.4005508422852,73.5592880249023,64.068489074707,0.0
2018-02-05 05:12:00,25.2559719085693,0.0,20.7296161651611,1.02534568309784,104.853988647461,77.2842483520508,59.3536376953125,44.7475814819336,3.34378504753113,60.9972724914551,53.0015449523926,72.9719924926758,61.307186126709,0.0
2018-02-05 05:15:00,24.9894561767578,0.0,22.4256649017334,1.01043927669525,113.41845703125,75.3227157592773,60.1827545166016,43.5618171691895,3.37595224380493,61.1436157226563,53.194881439209,72.1398696899414,60.5425643920898,0.0
2018-02-05 05:18:00,24.8766975402832,0.0,22.0235652923584,1.01136481761932,109.861381530762,76.3317718505859,58.9531402587891,45.2712860107422,3.24561452865601,60.1555976867676,53.5850105285645,72.209587097168,60.1692504882813,0.0
2018-02-05 05:21:00,24.6455059051514,0.0,23.033275604248,1.01269519329071,108.453163146973,76.6114196777344,59.2326202392578,44.7480430603027,3.40238499641418,59.3026428222656,54.4935913085938,72.2471618652344,59.2963905334473,0.0
2018-02-05 05:24:00,24.7122001647949,0.0,22.0366802215576,1.01944887638092,108.220329284668,75.9320755004883,59.9733963012695,43.9550628662109,3.30532717704773,61.4432792663574,54.343635559082,72.7337799072266,59.7365188598633,0.0
2018-02-05 05:27:00,24.8051300048828,0.0,22.9353466033936,1.02771723270416,104.690635681152,76.931999206543,60.0631637573242,44.1984596252441,3.45147371292114,60.7272682189941,54.7107048034668,73.8505020141602,58.7803497314453,0.0
2018-02-05 05:30:00,24.6715202331543,0.0,23.7637500762939,1.03818583488464,103.90788269043,76.4229888916016,60.4667434692383,44.4981117248535,3.23999500274658,62.4364051818848,55.5220527648926,73.6737518310547,58.1629524230957,0.0
2018-02-05 05:33:00,24.9387645721436,0.0,26.2538642883301,1.08242344856262,101.018569946289,77.4065093994141,60.6557312011719,43.5519523620605,3.36415815353394,62.5932693481445,55.7540817260742,74.6754989624023,59.0086059570313,0.0
2018-02-05 05:36:00,25.3205947875977,0.0,27.371603012085,1.07283890247345,99.4026336669922,78.4011535644531,59.0700187683105,44.5546607971191,3.3612904548645,61.8077545166016,55.9366683959961,74.0481719970703,59.7080078125,0.0
2018-02-05 05:39:00,25.1277465820313,0.0,28.038049697876,1.07415628433228,97.3110809326172,77.8133850097656,59.1635437011719,44.4812889099121,3.36077475547791,60.5209083557129,56.1529808044434,73.5892105102539,61.5886268615723,0.0
